"Team","System_Team","Match_Number","Home_Away","Three_Or_Five_Def","Two_Strikers","Classification","Age","Mean_Value","Rank","Points","League","Rank_bis","Points_bis"
"Athletic Bilbao","4-2-3-1",1454,"Home","No","No","4d_1s",26.6,7.18,8,51,"Liga",0.6,1.34210526315789
"RCD Mallorca","5-4-1",1454,"Away","Yes","No","3_5d_1s",26.3,2.82,9,50,"Liga",0.55,1.31578947368421
"Getafe CF","3-5-2",1455,"Home","Yes","Yes","3_5d_2s",26,3.5,15,42,"Liga",0.25,1.10526315789474
"Atlético de Madrid","3-1-4-2",1455,"Away","Yes","Yes","3_5d_2s",25.4,13.36,3,77,"Liga",0.85,2.02631578947368
"Real Betis Balompié","4-2-3-1",1456,"Home","No","No","4d_1s",27.1,6.48,6,60,"Liga",0.7,1.57894736842105
"Elche CF","3-4-3",1456,"Away","Yes","No","3_5d_1s",26.5,1.69,20,25,"Liga",0,0.657894736842105
"RCD Espanyol Barcelona","4-3-3",1457,"Home","No","No","4d_1s",25.5,3.23,19,37,"Liga",0.05,0.973684210526316
"Rayo Vallecano","4-2-3-1",1457,"Away","No","No","4d_1s",28.1,3.57,12,49,"Liga",0.4,1.28947368421053
"Sevilla FC","4-3-3",1458,"Home","No","No","4d_1s",26.3,5.54,11,49,"Liga",0.45,1.28947368421053
"Real Valladolid CF","4-1-4-1",1458,"Away","No","No","4d_1s",26.3,2.21,18,40,"Liga",0.1,1.05263157894737
"CA Osasuna","4-2-3-1",1459,"Home","No","No","4d_1s",26.7,4.84,7,53,"Liga",0.65,1.39473684210526
